category,level,region,year,quarter,registered_users
user,state,andhra pradesh,2022,3,26496330
user,state,rajasthan,2022,3,26042948
user,state,telangana,2022,3,24506111
user,state,west bengal,2022,3,24372048
user,state,tamil nadu,2022,3,24019964
user,state,madhya pradesh,2022,3,21884220
user,state,gujarat,2022,3,21394721
user,district,bengaluru urban,2022,3,13997602
user,district,pune,2022,3,9194074
user,district,thane,2022,3,5757165
user,district,jaipur,2022,3,5696726
user,district,mumbai suburban,2022,3,5555095
user,district,hyderabad,2022,3,4739891
user,district,ahmadabad,2022,3,4319512
user,district,rangareddy,2022,3,4105107
user,district,north twenty four parganas,2022,3,3578500
user,district,surat,2022,3,3567767
user,pincode,201301,2022,3,774591
user,pincode,110059,2022,3,652328
user,pincode,560068,2022,3,601656
user,pincode,421302,2022,3,577754
user,pincode,500072,2022,3,523196
user,pincode,122001,2022,3,516313
user,pincode,110092,2022,3,509260
user,pincode,110086,2022,3,453393
user,pincode,121004,2022,3,445822
user,pincode,201009,2022,3,428994
user,state,maharashtra,2022,4,55954028
user,state,uttar pradesh,2022,4,45648650
user,state,karnataka,2022,4,36081698
user,state,andhra pradesh,2022,4,27778016
user,state,rajasthan,2022,4,27255927
user,state,telangana,2022,4,25656381
user,state,west bengal,2022,4,25536381
user,state,tamil nadu,2022,4,25136112
user,state,madhya pradesh,2022,4,22913924
user,state,gujarat,2022,4,22412353
user,district,bengaluru urban,2022,4,14654455
user,district,pune,2022,4,9622338
user,district,thane,2022,4,6042267
user,district,jaipur,2022,4,5975863
user,district,mumbai suburban,2022,4,5831539
user,district,hyderabad,2022,4,4962214
user,district,ahmadabad,2022,4,4530853
user,district,rangareddy,2022,4,4296707
user,district,north twenty four parganas,2022,4,3755017
user,district,surat,2022,4,3747780
user,pincode,201301,2022,4,814008
user,pincode,110059,2022,4,685596
user,pincode,560068,2022,4,630255
user,pincode,421302,2022,4,608005
user,pincode,500072,2022,4,547282
user,pincode,122001,2022,4,542209
user,pincode,110092,2022,4,534009
user,pincode,110086,2022,4,477514
user,pincode,121004,2022,4,468607
user,pincode,201009,2022,4,451153
user,state,maharashtra,2023,1,58470784
user,state,uttar pradesh,2023,1,47806049
user,state,karnataka,2023,1,37681426
user,state,andhra pradesh,2023,1,29065863
user,state,rajasthan,2023,1,28523031
user,state,telangana,2023,1,26804259
user,state,west bengal,2023,1,26732895
user,state,tamil nadu,2023,1,26270663
user,state,madhya pradesh,2023,1,24002818
user,state,gujarat,2023,1,23436230
user,district,bengaluru urban,2023,1,15290372
user,district,pune,2023,1,10037022
user,district,thane,2023,1,6314618
user,district,jaipur,2023,1,6247095
user,district,mumbai suburban,2023,1,6095695
user,district,hyderabad,2023,1,5176899
user,district,ahmadabad,2023,1,4734630
user,district,rangareddy,2023,1,4483193
user,district,north twenty four parganas,2023,1,3926974
user,district,surat,2023,1,3919829
user,pincode,201301,2023,1,851451
user,pincode,110059,2023,1,716856
user,pincode,560068,2023,1,658173
user,pincode,421302,2023,1,636458
user,pincode,500072,2023,1,570652
user,pincode,122001,2023,1,566889
user,pincode,110092,2023,1,557488
user,pincode,110086,2023,1,500213
user,pincode,121004,2023,1,490243
user,pincode,201009,2023,1,472156
user,state,maharashtra,2023,2,60766850
user,state,uttar pradesh,2023,2,49829833
user,state,karnataka,2023,2,39122314
user,state,andhra pradesh,2023,2,30240061
user,state,rajasthan,2023,2,29745609
user,state,west bengal,2023,2,27827662
user,state,telangana,2023,2,27814633
user,state,tamil nadu,2023,2,27317599
user,state,madhya pradesh,2023,2,25042930
user,state,gujarat,2023,2,24396768
user,district,bengaluru urban,2023,2,15812243
user,district,pune,2023,2,10396344
user,district,thane,2023,2,6552282
user,district,jaipur,2023,2,6490210
user,district,mumbai suburban,2023,2,6322778
user,district,hyderabad,2023,2,5349842
user,district,ahmadabad,2023,2,4913610
user,district,rangareddy,2023,2,4638501
user,district,north twenty four parganas,2023,2,4079270
user,district,surat,2023,2,4076929
user,pincode,201301,2023,2,883262
user,pincode,110059,2023,2,744061
user,pincode,560068,2023,2,680831
user,pincode,421302,2023,2,662196
user,pincode,500072,2023,2,589156
user,pincode,122001,2023,2,587988
user,pincode,110092,2023,2,577301
user,pincode,110086,2023,2,520976
user,pincode,121004,2023,2,509776
user,pincode,201009,2023,2,490549
user,state,maharashtra,2023,3,63150997
user,state,uttar pradesh,2023,3,51870932
user,state,karnataka,2023,3,40634390
user,state,andhra pradesh,2023,3,31493897
user,state,rajasthan,2023,3,30997182
user,state,west bengal,2023,3,28966414
user,state,telangana,2023,3,28896668
user,state,tamil nadu,2023,3,28405436
user,state,madhya pradesh,2023,3,26109033
user,state,gujarat,2023,3,25383429
user,district,bengaluru urban,2023,3,16382332
user,district,pune,2023,3,10780092
user,district,thane,2023,3,6802106
user,district,jaipur,2023,3,6745507
user,district,mumbai suburban,2023,3,6560867
user,district,hyderabad,2023,3,5543537
user,district,ahmadabad,2023,3,5105557
user,district,rangareddy,2023,3,4809474
user,district,north twenty four parganas,2023,3,4241525
user,district,surat,2023,3,4238878
user,pincode,201301,2023,3,916333
user,pincode,110059,2023,3,772107
user,pincode,560068,2023,3,703693
user,pincode,421302,2023,3,688520
user,pincode,122001,2023,3,609934
user,pincode,500072,2023,3,609887
user,pincode,110092,2023,3,598195
user,pincode,110086,2023,3,540985
user,pincode,121004,2023,3,529674
user,pincode,201009,2023,3,509567
user,state,maharashtra,2023,4,65422120
user,state,uttar pradesh,2023,4,53799813
user,state,karnataka,2023,4,42031396
user,state,andhra pradesh,2023,4,32658698
user,state,rajasthan,2023,4,32157348
user,state,west bengal,2023,4,30064546
user,state,telangana,2023,4,29902636
user,state,tamil nadu,2023,4,29452801
user,state,madhya pradesh,2023,4,27078072
user,state,gujarat,2023,4,26312655
user,district,bengaluru urban,2023,4,16895567
user,district,pune,2023,4,11135186
user,district,thane,2023,4,7044610
user,district,jaipur,2023,4,6983265
user,district,mumbai suburban,2023,4,6796218
user,district,hyderabad,2023,4,5720710
user,district,ahmadabad,2023,4,5282400
user,district,rangareddy,2023,4,4964411
user,district,north twenty four parganas,2023,4,4396190
user,district,surat,2023,4,4396038
user,pincode,201301,2023,4,948041
user,pincode,110059,2023,4,798856
user,pincode,560068,2023,4,727330
user,pincode,421302,2023,4,714635
user,pincode,122001,2023,4,630836
user,pincode,500072,2023,4,628306
user,pincode,110092,2023,4,617934
user,pincode,110086,2023,4,561319
user,pincode,121004,2023,4,549020
user,pincode,201009,2023,4,527630
user,state,maharashtra,2024,1,68016876
user,state,uttar pradesh,2024,1,56028765
user,state,karnataka,2024,1,43668141
user,state,andhra pradesh,2024,1,34008709
user,state,rajasthan,2024,1,33505514
user,state,west bengal,2024,1,31306843
user,state,telangana,2024,1,31082447
user,state,tamil nadu,2024,1,30638750
user,state,madhya pradesh,2024,1,28238554
user,state,gujarat,2024,1,27381972
user,district,bengaluru urban,2024,1,17506580
user,district,pune,2024,1,11546171
user,district,thane,2024,1,7314981
user,district,jaipur,2024,1,7253881
user,district,mumbai suburban,2024,1,7055629
user,district,hyderabad,2024,1,5928930
user,district,ahmadabad,2024,1,5485010
user,district,rangareddy,2024,1,5149421
user,district,north twenty four parganas,2024,1,4570438
user,district,surat,2024,1,4569769
user,pincode,201301,2024,1,984239
user,pincode,110059,2024,1,829414
user,pincode,560068,2024,1,753700
user,pincode,421302,2024,1,743686
user,pincode,122001,2024,1,654633
user,pincode,500072,2024,1,650991
user,pincode,110092,2024,1,640499
user,pincode,110086,2024,1,583639
user,pincode,121004,2024,1,570844
user,pincode,201009,2024,1,548384
user,state,maharashtra,2024,2,70597223
user,state,uttar pradesh,2024,2,58199149
user,state,karnataka,2024,2,45290606
user,state,andhra pradesh,2024,2,35303719
user,state,rajasthan,2024,2,34773619
